Sample,Reads,Prop_of_assigned_reads,Vol_needed,Vol_to_pool,id
001_e001_10476666_DPDD9,2299,0.31,6.5,6.5,e0001
002_e002_10476666_DPDD9,2525,0.34,6,6,e0002
003_e003_10476666_DPDD9,2218,0.29,6.8,6.8,e0003
004_e004_10476666_DPDD9,767,0.1,19.6,15,e0004
005_e005_10476666_DPDD9,1069,0.14,14.1,14.1,e0005
006_e006_10476666_DPDD9,386,0.05,39,15,e0006
007_e007_10476666_DPDD9,428,0.06,35.2,15,e0007
008_e008_10476666_DPDD9,661,0.09,22.8,15,e0008
009_e051_10476666_DPDD9,2481,0.33,6.1,6.1,e0051
010_e052_10476666_DPDD9,1092,0.15,13.8,13.8,e0052
011_e053_10476666_DPDD9,1581,0.21,9.5,9.5,e0053
012_e054_10476666_DPDD9,2584,0.34,5.8,5.8,e0054
013_e055_10476666_DPDD9,371,0.05,40.6,15,e0055
014_e056_10476666_DPDD9,2124,0.28,7.1,7.1,e0056
015_e057_10476666_DPDD9,1614,0.21,9.3,9.3,e0057
016_e058_10476666_DPDD9,1567,0.21,9.6,9.6,e0058
017_e101_10476666_DPDD9,3094,0.41,4.9,4.9,e0101
018_e102_10476666_DPDD9,963,0.13,15.6,15,e0102
019_e103_10476666_DPDD9,2328,0.31,6.5,6.5,e0103
020_e104_10476666_DPDD9,2463,0.33,6.1,6.1,e0104
021_e105_10476666_DPDD9,2551,0.34,5.9,5.9,e0105
022_e106_10476666_DPDD9,2097,0.28,7.2,7.2,e0106
023_e107_10476666_DPDD9,3037,0.4,5,5,e0107
024_e108_10476666_DPDD9,2537,0.34,5.9,5.9,e0108
025_e151_10476666_DPDD9,1168,0.16,12.9,12.9,e0151
026_e152_10476666_DPDD9,2435,0.32,6.2,6.2,e0152
027_e153_10476666_DPDD9,1432,0.19,10.5,10.5,e0153
028_e154_10476666_DPDD9,2179,0.29,6.9,6.9,e0154
029_e155_10476666_DPDD9,2179,0.29,6.9,6.9,e0155
030_e156_10476666_DPDD9,2998,0.4,5,5,e0156
031_e157_10476666_DPDD9,2281,0.3,6.6,6.6,e0157
032_e158_10476666_DPDD9,3986,0.53,3.8,3.8,e0158
033_e201_10476666_DPDD9,2109,0.28,7.1,7.1,e0201
034_e202_10476666_DPDD9,1600,0.21,9.4,9.4,e0202
035_e203_10476666_DPDD9,2216,0.29,6.8,6.8,e0203
036_e204_10476666_DPDD9,2327,0.31,6.5,6.5,e0204
037_e205_10476666_DPDD9,2624,0.35,5.7,5.7,e0205
