sample_id,id,perc_duplication,read_count,gb
001_e0001_10477526_22JH5HLT4_L2,e0001,9.40%,"9,930,136",1.4895204
002_e0002_10477526_22JH5HLT4_L2,e0002,10.20%,"11,775,622",1.7663433
003_e0003_10477526_22JH5HLT4_L2,e0003,9.30%,"10,599,252",1.5898878
004_e0004_10477526_22JH5HLT4_L2,e0004,7.40%,"11,180,902",1.6771353
005_e0005_10477526_22JH5HLT4_L2,e0005,8.30%,"9,864,992",1.4797488
006_e0006_10477526_22JH5HLT4_L2,e0006,7.10%,"3,754,006",0.5631009
007_e0007_10477526_22JH5HLT4_L2,e0007,7.10%,"4,910,808",0.7366212
008_e0008_10477526_22JH5HLT4_L2,e0008,6.70%,"5,871,388",0.8807082
009_e0051_10477526_22JH5HLT4_L2,e0051,9.00%,"9,805,220",1.470783
010_e0052_10477526_22JH5HLT4_L2,e0052,9.30%,"11,066,070",1.6599105
011_e0053_10477526_22JH5HLT4_L2,e0053,8.70%,"11,242,676",1.6864014
012_e0054_10477526_22JH5HLT4_L2,e0054,10.30%,"13,366,810",2.0050215
013_e0055_10477526_22JH5HLT4_L2,e0055,0.20%,"3,580,318",0.5370477
014_e0056_10477526_22JH5HLT4_L2,e0056,9.50%,"11,155,976",1.6733964
015_e0057_10477526_22JH5HLT4_L2,e0057,8.20%,"11,491,364",1.7237046
016_e0058_10477526_22JH5HLT4_L2,e0058,9.70%,"12,328,124",1.8492186
017_e0101_10477526_22JH5HLT4_L2,e0101,9.40%,"10,368,510",1.5552765
018_e0102_10477526_22JH5HLT4_L2,e0102,9.60%,"11,672,490",1.7508735
019_e0103_10477526_22JH5HLT4_L2,e0103,8.50%,"9,721,710",1.4582565
020_e0104_10477526_22JH5HLT4_L2,e0104,8.70%,"9,589,104",1.4383656
021_e0105_10477526_22JH5HLT4_L2,e0105,9.70%,"10,775,862",1.6163793
022_e0106_10477526_22JH5HLT4_L2,e0106,8.40%,"10,305,838",1.5458757
023_e0107_10477526_22JH5HLT4_L2,e0107,9.30%,"12,154,848",1.8232272
024_e0108_10477526_22JH5HLT4_L2,e0108,8.30%,"11,799,898",1.7699847
025_e0151_10477526_22JH5HLT4_L2,e0151,8.10%,"8,518,044",1.2777066
026_e0152_10477526_22JH5HLT4_L2,e0152,9.20%,"11,130,232",1.6695348
027_e0153_10477526_22JH5HLT4_L2,e0153,8.90%,"11,170,688",1.6756032
028_e0154_10477526_22JH5HLT4_L2,e0154,9.70%,"10,444,472",1.5666708
029_e0155_10477526_22JH5HLT4_L2,e0155,9.10%,"14,764,946",2.2147419
030_e0156_10477526_22JH5HLT4_L2,e0156,8.50%,"8,834,254",1.3251381
031_e0157_10477526_22JH5HLT4_L2,e0157,7.80%,"9,712,380",1.456857
032_e0158_10477526_22JH5HLT4_L2,e0158,8.90%,"9,302,604",1.3953906
033_e0201_10477526_22JH5HLT4_L2,e0201,10.30%,"11,879,712",1.7819568
034_e0202_10477526_22JH5HLT4_L2,e0202,8.60%,"15,256,946",2.2885419
035_e0203_10477526_22JH5HLT4_L2,e0203,9.50%,"11,600,658",1.7400987
036_e0204_10477526_22JH5HLT4_L2,e0204,9.60%,"10,860,308",1.6290462
037_e0205_10477526_22JH5HLT4_L2,e0205,8.50%,"11,005,314",1.6507971
038_e0206_10477526_22JH5HLT4_L2,e0206,9.10%,"9,972,858",1.4959287
039_e0207_10477526_22JH5HLT4_L2,e0207,5.70%,"5,359,146",0.8038719
040_e0208_10477526_22JH5HLT4_L2,e0208,9.00%,"10,451,980",1.567797
041_e0251_10477526_22JH5HLT4_L2,e0251,9.10%,"15,062,782",2.2594173
042_e0252_10477526_22JH5HLT4_L2,e0252,10.60%,"12,639,444",1.8959166
043_e0253_10477526_22JH5HLT4_L2,e0253,8.00%,"10,763,508",1.6145262
044_e0254_10477526_22JH5HLT4_L2,e0254,8.70%,"11,804,534",1.7706801
045_e0255_10477526_22JH5HLT4_L2,e0255,7.70%,"12,755,428",1.9133142
046_e0256_10477526_22JH5HLT4_L2,e0256,10.20%,"11,658,540",1.748781
047_e0257_10477526_22JH5HLT4_L2,e0257,9.10%,"8,491,038",1.2736557
048_e0258_10477526_22JH5HLT4_L2,e0258,10.40%,"9,242,072",1.3863108
049_e0301_10477526_22JH5HLT4_L2,e0301,7.80%,"9,552,732",1.4329098
050_e0302_10477526_22JH5HLT4_L2,e0302,8.80%,"9,454,198",1.4181297
051_e0303_10477526_22JH5HLT4_L2,e0303,8.70%,"10,595,532",1.5893298
052_e0304_10477526_22JH5HLT4_L2,e0304,9.80%,"10,097,004",1.5145506
053_e0305_10477526_22JH5HLT4_L2,e0305,9.10%,"10,092,038",1.5138057
054_e0306_10477526_22JH5HLT4_L2,e0306,6.00%,"13,363,052",2.0044578
055_e0307_10477526_22JH5HLT4_L2,e0307,8.40%,"10,920,990",1.6381485
056_e0308_10477526_22JH5HLT4_L2,e0308,9.50%,"9,881,774",1.4822661
057_e0351_10477526_22JH5HLT4_L2,e0351,8.90%,"9,520,212",1.4280318
058_e0352_10477526_22JH5HLT4_L2,e0352,7.40%,"12,721,076",1.9081614
059_e0353_10477526_22JH5HLT4_L2,e0353,8.70%,"10,312,288",1.5468432
060_e0354_10477526_22JH5HLT4_L2,e0354,9.00%,"9,269,452",1.3904178
061_e0355_10477526_22JH5HLT4_L2,e0355,9.10%,"9,693,724",1.4540586
062_e0356_10477526_22JH5HLT4_L2,e0356,8.60%,"12,818,038",1.9227057
063_e0357_10477526_22JH5HLT4_L2,e0357,8.50%,"12,018,730",1.8028095
064_e0358_10477526_22JH5HLT4_L2,e0358,10.30%,"11,168,082",1.6752123
065_e0401_10477526_22JH5HLT4_L2,e0401,8.30%,"9,452,062",1.4178093
066_e0402_10477526_22JH5HLT4_L2,e0402,8.30%,"9,895,214",1.4842821
067_e0403_10477526_22JH5HLT4_L2,e0403,8.70%,"8,241,896",1.2362844
068_e0404_10477526_22JH5HLT4_L2,e0404,8.40%,"7,378,856",1.1068284
069_e0405_10477526_22JH5HLT4_L2,e0405,9.70%,"10,769,976",1.6154964
070_e0406_10477526_22JH5HLT4_L2,e0406,9.50%,"11,800,242",1.7700363
071_e0407_10477526_22JH5HLT4_L2,e0407,7.90%,"16,268,340",2.440251
072_e0408_10477526_22JH5HLT4_L2,e0408,9.50%,"9,510,998",1.4266497
073_e0451_10477526_22JH5HLT4_L2,e0451,6.00%,"11,422,356",1.7133534
074_e0452_10477526_22JH5HLT4_L2,e0452,8.30%,"11,203,436",1.6805154
075_e0453_10477526_22JH5HLT4_L2,e0453,7.90%,"15,196,946",2.2795419
076_e0454_10477526_22JH5HLT4_L2,e0454,9.20%,"10,398,310",1.5597465
077_e0455_10477526_22JH5HLT4_L2,e0455,9.60%,"11,024,086",1.6536129
